name,party,dim1,dim2
Marc Bernhard,AfD,0.009423637375248215,0.02391244774685005
Marc Jongen,AfD,0.011220620012141807,0.014682406021354413
Marcus Bühl,AfD,0.007442132207097446,0.025386513799275444
Mariana Harder-Kühnel,AfD,0.0124071905871224,0.015079563360812934
Markus Frohnmaier,AfD,0.011367189319769731,0.022025167259943558
Martin Erwin Renner,AfD,0.012673281010588663,0.018045102149993303
Martin Hess,AfD,0.012032531278288187,0.020669431108919084
Martin Reichardt,AfD,0.012471753199647488,0.02241292174715932
Martin Sichert,AfD,0.008874989834767429,0.022105703656975218
Matthias Moosdorf,AfD,0.01322652323976218,0.023669748414795248
Michael Espendiller,AfD,0.009513059360790962,0.025005751695595088
Michael Kaufmann,AfD,0.008126961771611511,0.023269764294545
Mike Moncsek,AfD,0.00920702888035379,0.02296369689446642
Nicole Höchst,AfD,0.011476966138216735,0.02350259046160539
Norbert Kleinwächter,AfD,0.012141124416414916,0.027488308694534117
Peter Boehringer,AfD,0.009483077536429898,0.02418266238451629
Peter Felser,AfD,0.011799036986235495,0.027175557883137115
Petr Bystron,AfD,0.009041002734383553,0.010615371764586589
Rainer Kraft,AfD,0.010773856070030513,0.032927567746444154
Rainer Rothfuß,AfD,0.011709512266791976,0.018025663106840756
René Bochmann,AfD,0.008976817887424231,0.026317282616011572
René Springer,AfD,0.009034825017384188,0.016631454755220907
Roger Beckamp,AfD,0.013153111151954035,0.02309447908698433
Rüdiger Lucassen,AfD,0.010543861818058485,0.02180341392985301
Sebastian Münzenmaier,AfD,0.010972626701323434,0.025139361306384396
Stefan Keuter,AfD,0.010892875648891449,0.024754065053096776
Steffen Janich,AfD,0.0068101962613438,0.022136544658354306
Steffen Kotré,AfD,0.011716664447363637,0.026805422396014116
Stephan Brandner,AfD,0.008566797360685878,0.023541662085492798
Stephan Protschka,AfD,0.012016391019095797,0.02566976219227
Thomas Dietz,AfD,0.010921184919158061,0.023108719290791113
Thomas Ehrhorn,AfD,0.010987870187595236,0.026470337910179952
Thomas Seitz,AfD,0.008717363273905427,0.020515475336764913
Tino Chrupalla,AfD,0.010123455956444531,0.02387420280660966
Tobias Matthias Peterka,AfD,0.008964973843945689,0.024927026344959902
Ulrike Schielke-Ziesing,AfD,0.008822666510871028,0.0235251958848704
Uwe Schulz,AfD,0.013236442675776568,0.012600024973651973
Volker Münz,AfD,0.0209797675614351,0.006769486701812441
Wolfgang Wiehle,AfD,0.009414253431285177,0.026818760780539744
Agnieszka Brugger,BÜNDNIS 90/DIE GRÜNEN,0.042997942546216354,-0.02193182097020273
Andreas Audretsch,BÜNDNIS 90/DIE GRÜNEN,0.04311573232313577,-0.02427917778157679
Anja Liebert,BÜNDNIS 90/DIE GRÜNEN,0.04312214679098734,-0.0263045334176516
Anja Reinalter,BÜNDNIS 90/DIE GRÜNEN,0.04314457455683687,-0.024760151170489318
Anna Christmann,BÜNDNIS 90/DIE GRÜNEN,0.04278394640473421,-0.022267828222366604
Anna Lührmann,BÜNDNIS 90/DIE GRÜNEN,0.04218084960885494,-0.02246694911993537
Annalena Baerbock,BÜNDNIS 90/DIE GRÜNEN,0.042634775912242226,-0.00946889988141109
Anne-Monika Spallek,BÜNDNIS 90/DIE GRÜNEN,0.04333333249636587,-0.020137925677007618
Anton Hofreiter,BÜNDNIS 90/DIE GRÜNEN,0.04305287183878033,-0.02115830261846907
Armin Grau,BÜNDNIS 90/DIE GRÜNEN,0.043024530014692954,-0.023493395892433676
