name,party,dim1_imp,dim1_dc
Wolfgang Strengmann-Kuhn,BÜNDNIS 90/DIE GRÜNEN,0.041638746634051003,-0.030267237789667393
Zoe Mayer,BÜNDNIS 90/DIE GRÜNEN,0.042784878238925954,-0.03093079034714878
Albert Rupprecht,CDU/CSU,0.028992824758857758,0.05485066821141118
Albert Stegemann,CDU/CSU,0.029805621682585253,0.05257118519356756
Alexander Dobrindt,CDU/CSU,0.029273649672252718,0.054659391104841845
Alexander Engelhard,CDU/CSU,0.03223068279907825,0.04407737610949644
Alexander Föhr,CDU/CSU,0.03205283092965989,0.03212577584575578
Alexander Hoffmann,CDU/CSU,0.029221027076711373,0.056535420445939635
Alexander Radwan,CDU/CSU,0.029697669588103624,0.05618014172371507
Alexander Throm,CDU/CSU,0.030038926572360555,0.055185098782996544
Alois Rainer,CDU/CSU,0.029090941039014995,0.05677165116252601
Andrea Lindholz,CDU/CSU,0.029051902567907458,0.051009025988109837
Andreas Jung,CDU/CSU,0.029841811575592153,0.051821829753748265
Andreas Lenz,CDU/CSU,0.029381753794200476,0.053835725216532675
Andreas Mattfeldt,CDU/CSU,0.030279118594321277,0.04064924242349926
Andreas Scheuer,CDU/CSU,0.028950110035249835,0.03736294397482
André Berghegger,CDU/CSU,0.029508271189012995,0.03948416326587969
Anja Karliczek,CDU/CSU,0.0300014768153622,0.05455417848730155
Anja Weisgerber,CDU/CSU,0.030044652190136634,0.05405818876879057
Anne Janssen,CDU/CSU,0.028964942224028983,0.055381627820708525
Anne König,CDU/CSU,0.030229895259555953,0.04386931471499276
Annette Widmann-Mauz,CDU/CSU,0.03023174211890414,0.049005454841260426
Ansgar Heveling,CDU/CSU,0.02917684034009752,0.05548444022584352
Antje Tillmann,CDU/CSU,0.029686636350216525,0.051831776943048906
Armin Laschet,CDU/CSU,0.029476809350434098,0.044531192180961715
Armin Schwarz,CDU/CSU,0.02962131647372333,0.034701642016851685
Artur Auernhammer,CDU/CSU,0.03091187667562253,0.04877364802491673
Astrid Damerow,CDU/CSU,0.03073664415479032,0.0447389824013191
Astrid Mannes,CDU/CSU,0.034023839418625225,0.014601446450957307
Astrid Timmermann-Fechter,CDU/CSU,0.029906418871116853,0.042356836879484515
Axel Knoerig,CDU/CSU,0.03001462598670275,0.050036297646881917
Axel Müller,CDU/CSU,0.029365667698574086,0.05819294429253024
Bernhard Loos,CDU/CSU,0.029263098430705004,0.05477879063048193
Bettina Wiesmann,CDU/CSU,0.035222746399157734,0.01329929021053648
Björn Simon,CDU/CSU,0.030489294542344562,0.052173626496124
Carsten Brodesser,CDU/CSU,0.028953362117742357,0.057957945214118366
Carsten Körber,CDU/CSU,0.02883575691644144,0.04700448868188218
Carsten Linnemann,CDU/CSU,0.028746318920712752,0.05454344281022125
Carsten Müller,CDU/CSU,0.028899459883760303,0.05690819626073374
Catarina dos Santos-Wintz,CDU/CSU,0.02903116291501679,0.05578136930508049
Christian Haase,CDU/CSU,0.029512975557980648,0.05149717833136037
Christian Hirte,CDU/CSU,0.029025812633852257,0.056492638012361644
Christian von Stetten,CDU/CSU,0.029540714609344883,0.056512311719569934
Christiane Schenderlein,CDU/CSU,0.02948594989573939,0.05370266882221647
Christina Stumpp,CDU/CSU,0.030274530725582297,0.04548858614921841
Christoph Ploß,CDU/CSU,0.02907091815295287,0.05849130461158194
Christoph de Vries,CDU/CSU,0.029535185800566983,0.05535040280606725
Daniela Ludwig,CDU/CSU,0.029037336605263732,0.05326792848616277
Detlef Seif,CDU/CSU,0.029169497710506365,0.0556904746917544
Diana Stöcker,CDU/CSU,0.030090016004984524,0.04237247874660838
Dieter Stier,CDU/CSU,0.028473136445980454,0.0540032214906912
Dietrich Monstadt,CDU/CSU,0.029031602236812788,0.05662673275495559
Dorothee Bär,CDU/CSU,0.028750785014306217,0.05192753276135894
Elisabeth Winkelmeier-Becker,CDU/CSU,0.027771342117402675,0.05138337214236631
Emmi Zeulner,CDU/CSU,0.029779130860189112,0.05260010237600348
Enak Ferlemann,CDU/CSU,0.029643538543418828,0.052523773666065164
