vote_column,dim1,dim2,poll_id,poll_label,accepted,committee,url
v001,0.07530900325897796,-0.09407273249138802,4370,Änderung des Infektionsschutzgesetzes (Ende der epidemischen Lage),TRUE,Hauptausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/aenderung-des-infektionsschutzgesetzes-ende-der-epidemischen-lage
v002,0.024792712179382947,0.12578175019691215,4372,CDU/CSU-Antrag: Verlängerung der epidemischen Lage nationaler Tragweite,FALSE,NA,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/cdu/csu-antrag-verlaengerung-der-epidemischen-lage-nationaler-tragweite
v003,0.09925662822730338,0.034226341789823755,4386,Impfpflicht für bestimmte Berufsgruppen und weitere Änderungen im Infektionsschutzgesetz,TRUE,Hauptausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/impfpflicht-fuer-bestimmte-berufsgruppen-und-weitere-aenderungen-im-infektionsschutzgesetz
v004,0.0021822511942297183,-0.006868201205445207,4388,DIE LINKE-Antrag: Prämie für Beschäftigte im Gesundheits- und Pflegesystem,FALSE,NA,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/die-linke-antrag-praemie-fuer-beschaeftigte-im-gesundheits-und-pflegesystem
v005,0.07370658026877637,-0.09360959839137052,4446,Zweiter Nachtrag zum Bundeshaushalt 2021,TRUE,Haushaltsausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/zweiter-nachtrag-zum-bundeshaushalt-2021
v006,0.09773522162225001,0.03718680814297966,4447,Fortsetzung des Einsatzes der Bundeswehr im Irak,TRUE,NA,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/fortsetzung-des-einsatzes-der-bundeswehr-im-irak
v007,0.07375496870078535,-0.09409600106093395,4449,Ausnahme von der „Schuldenbremse“,TRUE,Haushaltsausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/ausnahme-von-der-schuldenbremse
v008,0.026415001819298907,0.12028248350581662,4514,CDU/CSU-Antrag: Sicherung einer bezahlbaren und souveränen Energieversorgung,FALSE,NA,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/cdu/csu-antrag-sicherung-einer-bezahlbaren-und-souveraenen-energieversorgung
v009,0.07343043622725814,-0.08730762485744993,4515,Änderung des Infektionsschutzgesetzes (Ende weitreichender Corona-Maßnahmen),TRUE,NA,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/aenderung-des-infektionsschutzgesetzes-ende-weitreichender-corona-massnahmen
v010,0.10235108296145702,0.0520302443122865,4516,Verlängerung des Bundeswehreinsatzes im Südsudan (UNMISS 2022/23),TRUE,NA,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/verlaengerung-des-bundeswehreinsatzes-im-suedsudan-unmiss-2022/23
