name,party,dim1,dim2
Leon Eckert,BÜNDNIS 90/DIE GRÜNEN,-0.034306197106077886,0.010435802430709186
Linda Heitmann,BÜNDNIS 90/DIE GRÜNEN,-0.03513640460061754,0.009163250934125384
Lisa Badum,BÜNDNIS 90/DIE GRÜNEN,-0.030123139704257566,0.009945712367785894
Lisa Paus,BÜNDNIS 90/DIE GRÜNEN,-0.02847326776689501,0.003153156341684572
Luise Amtsberg,BÜNDNIS 90/DIE GRÜNEN,-0.024469279203248658,4.9186041857585e-4
Lukas Benner,BÜNDNIS 90/DIE GRÜNEN,-0.034364373721170384,0.007503639267123148
Maik Außendorf,BÜNDNIS 90/DIE GRÜNEN,-0.035397354851850624,0.008955089122163827
Manuela Rottmann,BÜNDNIS 90/DIE GRÜNEN,-0.03212173992005586,0.006605171355472698
Marcel Emmerich,BÜNDNIS 90/DIE GRÜNEN,-0.03523086097943661,0.008813541460122412
Maria Klein-Schmeink,BÜNDNIS 90/DIE GRÜNEN,-0.030308394319110633,0.006907905968284346
Markus Kurth,BÜNDNIS 90/DIE GRÜNEN,-0.028508507669788002,0.009384614663784319
Marlene Schönberger,BÜNDNIS 90/DIE GRÜNEN,-0.03433119879161673,0.010307130776697173
Matthias Gastel,BÜNDNIS 90/DIE GRÜNEN,-0.03539735485185062,0.008955089122163824
Max Lucks,BÜNDNIS 90/DIE GRÜNEN,-0.03154670271339037,0.010659306909774872
Melis Sekmen,BÜNDNIS 90/DIE GRÜNEN,-0.02414721136710472,0.009826108038312563
Merle Spellerberg,BÜNDNIS 90/DIE GRÜNEN,-0.03254107199753429,0.006097784288574961
Michael Kellner,BÜNDNIS 90/DIE GRÜNEN,-0.031137765159395404,0.011154293755355644
Michael Sacher,BÜNDNIS 90/DIE GRÜNEN,-0.027468981858908476,0.00919052428800494
Misbah Khan,BÜNDNIS 90/DIE GRÜNEN,-0.035312421387322275,0.008409742171142993
Niklas Wagener,BÜNDNIS 90/DIE GRÜNEN,-0.03441240764404551,0.007555578819683524
Nina Stahr,BÜNDNIS 90/DIE GRÜNEN,-0.028156495781231226,0.00513414943175875
Nyke Slawik,BÜNDNIS 90/DIE GRÜNEN,-0.028618446304931752,0.011830923379495487
Oliver Krischer,BÜNDNIS 90/DIE GRÜNEN,-0.005405271892328555,0.0032678736978083624
Omid Nouripour,BÜNDNIS 90/DIE GRÜNEN,-0.030781523230939252,0.009398663882115936
Ophelia Nick,BÜNDNIS 90/DIE GRÜNEN,-0.03329215352555033,0.009334779110665355
Ottmar von Holtz,BÜNDNIS 90/DIE GRÜNEN,-0.009422143649918667,8.167071564714487e-4
Paula Piechotta,BÜNDNIS 90/DIE GRÜNEN,-0.03365692956929622,0.0099816703780729
Philip Krämer,BÜNDNIS 90/DIE GRÜNEN,-0.030397065341099823,0.0031173033374438997
Renate Künast,BÜNDNIS 90/DIE GRÜNEN,-0.035397351645217665,0.008937665141145761
Ricarda Lang,BÜNDNIS 90/DIE GRÜNEN,-0.027845499159082916,0.003158815666267131
Robert Habeck,BÜNDNIS 90/DIE GRÜNEN,-0.03317481631724203,0.01049603437506059
Robin Wagener,BÜNDNIS 90/DIE GRÜNEN,-0.029537539399738324,0.010161770185906194
Sabine Grützmacher,BÜNDNIS 90/DIE GRÜNEN,-0.022467268946261165,0.010984252534520773
Sandra Detzer,BÜNDNIS 90/DIE GRÜNEN,-0.034460319864591644,0.009164662017120065
Sara Nanni,BÜNDNIS 90/DIE GRÜNEN,-0.033462173266096074,0.010720059653062173
Sascha Müller,BÜNDNIS 90/DIE GRÜNEN,-0.035399145606594073,0.008890438647535276
Saskia Weishaupt,BÜNDNIS 90/DIE GRÜNEN,-0.0313768194439942,0.007171784452650979
Schahina Gambir,BÜNDNIS 90/DIE GRÜNEN,-0.031328729887634924,0.006407858800168304
Sebastian Schäfer,BÜNDNIS 90/DIE GRÜNEN,-0.033255061281993674,0.010552767457987779
Stefan Gelbhaar,BÜNDNIS 90/DIE GRÜNEN,-0.03315097209641593,0.00830393100933103
Stefan Schmidt,BÜNDNIS 90/DIE GRÜNEN,-0.03536202845303954,0.00898818135378757
Stefan Wenzel,BÜNDNIS 90/DIE GRÜNEN,-0.030440813362151216,0.01115155511197952
Steffi Lemke,BÜNDNIS 90/DIE GRÜNEN,-0.02027411638960991,0.003238627307174519
Stephanie Aeffner,BÜNDNIS 90/DIE GRÜNEN,-0.02808351333914138,0.00806176019570167
Susanne Menge,BÜNDNIS 90/DIE GRÜNEN,-0.032066448436178646,0.007370552760186387
Sven Lehmann,BÜNDNIS 90/DIE GRÜNEN,-0.030875183748732743,0.00864846154412499
Sven-Christian Kindler,BÜNDNIS 90/DIE GRÜNEN,-0.02536002937981899,0.011951501744692441
