name,party,irt,svd_imp,svd_dc
Klaus Ernst,DIE LINKE.,1.379238099476794,0.012012017462042548,0.008780113436762951
Klaus Mack,CDU/CSU,0.9593954063164982,0.029450804987066752,0.05587578290313433
Klaus Stöber,AfD,1.4949891209030541,0.012368881352365128,0.02578795460578388
Klaus Wiener,CDU/CSU,0.9303385591448086,0.02869932627880554,0.055671086741463836
Klaus-Peter Willsch,CDU/CSU,0.9691103376065177,0.02966860061161276,0.04549235853216488
Knut Abraham,CDU/CSU,0.9587637575898125,0.029332550332813383,0.0582357894760521
Knut Gerschau,FDP,-0.09458214074917626,0.042617004831397416,-0.030466775455662082
Konrad Stockmeier,FDP,-0.1728694585104941,0.04287506185593955,-0.030337568481855284
Konstantin Kuhle,FDP,-0.5066746049895829,0.04293356570637167,-0.030433952759226567
Konstantin von Notz,BÜNDNIS 90/DIE GRÜNEN,-0.6445734925129563,0.04311373026808282,-0.03307278617717594
Kordula Schulz-Asche,BÜNDNIS 90/DIE GRÜNEN,-1.1159332660393937,0.043410828863751395,-0.03339347287730762
Kristian Klinck,SPD,-0.7130689900396341,0.04266997577459637,-0.03231273463104219
Kristine Lütke,FDP,-0.3961116805178599,0.042873938075879955,-0.03139891408136451
Lamya Kaddor,BÜNDNIS 90/DIE GRÜNEN,-0.579830059289829,0.043217184269753524,-0.03112278168295318
Lars Castellucci,SPD,-0.820568833831412,0.042905068725071,-0.03000544219190485
Lars Klingbeil,SPD,-1.1769996779117715,0.042942602154738864,-0.030603897240799875
Lars Lindemann,FDP,-0.1865597783907562,0.04164238198720971,-0.023517563966515637
Lars Rohwer,CDU/CSU,1.0177019992316458,0.02856601203613723,0.05722867177013292
Laura Kraft,BÜNDNIS 90/DIE GRÜNEN,-0.9426124992525907,0.04328903130126823,-0.032440012535958
Leif-Erik Holm,AfD,1.4293450760470134,0.011712881672157772,0.03199606324068747
Lena Werner,SPD,-0.9908307324576262,0.042919147451269776,-0.02765162966717558
Leni Breymaier,SPD,-1.0750355902873667,0.043122409341096554,-0.03544109967046465
Lennard Oehl,SPD,-0.9368212052534811,0.04313704287011953,-0.031055004290327565
